,Has Author,Has Capture,Has Download Size,Has Download URL,Has Downloads,Has License,Has Logo,Has Name,Has Num Votes,Has OS,Has OS Details,Has Price,Has Project,Has Score Votes,Has Status,Has Summary,Has Topic,Has URL,Has Version,Has Warning,Has Warning Type,Supports ODF,Is Hosted in SC,Data de creació,Categories
Rebost:324,CCRTV,Fitxer:324 captura.jpg,,"https://itunes.apple.com/ao/app/324/id457034636?mt=8,https://play.google.com/store/apps/details?id=com.tres24&hl=ca",468,Programa Comercial,Fitxer:324.jpg,324,6,"iOS,Android","4.3 o superior,2.2 o superior",Gratuït,Projectes/Rebost,3,Estable,"'''324''' és l'aplicació per dispositius Android i iOS del canal de notícies de Televisió de Catalunya 3/24. Amb l'aplicació, el telespectador pot seguir l'actualitat fàcilment per seccions; Catalunya, Societat, Política, Món, Economia, Esports, Tecnologia, Oci i Cultura, ... a més de poder veure en directe el canal.…",Multimèdia,http://www.324.cat/mobils/,"1.6,1.0.18",,,,fals,27 març 2013 16:46:19,
Rebost:7-Zip,Igor Pavlov,Fitxer:Rebost 7zip.png,"1,100,000","http://www.7-zip.org/a/7z1514.exe,http://www.7-zip.org/a/7z1514-x64.exe","56,26",Programari lliure,Fitxer:7ziplogo.png,7-Zip,338,"Windows32,Windows64",,,,3175,Estable,"El '''7-Zip''' és un compressor i descompressor gratuït de fitxers que es distribueix sota una llicència lliure (GNU LGPL). Permet descomprimir els formats més comuns (ZIP, RAR, ISO, CAB...).

Té les característiques següents:
Una relació de compressió alta amb el nou format 7z amb compressió LZMA.Formats admesos:     Compressió / descompressió: 7z, ZIP, GZIP, BZIP2 i TAR.Únicament descompressió: RAR, CAB, ISO, ARJ, LZH, CHM…",Utilitats,http://www.7-zip.org/,15.14,,,,fals,18 març 2008 20:57:34,
Rebost:9Alcover,Carles Noguera,Fitxer:9Alcover.PNG,"1,468,006",https://itunes.apple.com/app/9alcover/id414673587?l=ca&mt=8,285,Programa comercial,Fitxer:9Alcover Logo.jpg,9Alcover,18,iOS,,Gratuït,,2333,Estable,"El '''9Alcover''' és una aplicació per l'iPhone i l'iPad que consulta la web del diccionari Català-Valencià-Balear, de l'IEC.…",Llengua,http://nou.cat/ios/alcover/,1.1,,,,fals,4 gener 2013 17:25:53,
Rebost:9Diec2,Carles Noguera,Fitxer:9Diec2.PNG,"1,887,437",https://itunes.apple.com/app/9diec2/id413649888?l=ca&mt=8,411,Programa comercial,Fitxer:9Diec2 Logo.jpg,9Diec2,22,iOS,,Gratuït,,2818,Estable,El '''9Diec2''' és una aplicació per a l'iPhone i l'iPad que consulta el diccionari en línia de l'IEC.…,Llengua,http://nou.cat/ios/diec/,1.1,,,,fals,4 gener 2013 17:36:19,
Rebost:9Icc,Carles Noguera,Fitxer:9lcc.PNG,"104,858",https://itunes.apple.com/app/9icc/id414904329?l=ca&mt=8,270,Programa comercial,Fitxer:9Icc Logo.jpg,9Icc,20,iOS,,Gratuït,,2.2,Estable,"El '''9Icc''' és una aplicació iPhone i l'iPad, per navegar pels mapes topogràfics i ortogràfica de l'Institut Cartogràfic de Catalunya en pantalla completa.

Perquè les aplicacions de mapes no sempre són suficients...…",Internet Eines,http://nou.cat/ios/icc/,0.2,,,,fals,6 gener 2013 11:41:21,
Rebost:AMSN,aMSN,Fitxer:Rebost-aMSN.png,"8,000,000,10,800,000","http://sourceforge.net/projects/amsn/files/amsn/0.98.4/aMSN-0.98.4-tcl85-windows-installer.exe/download,http://www.amsn-project.net/linux-downloads.php,http://sourceforge.net/projects/amsn/files/amsn/0.98.4/aMSN-0.98.4-1.dmg/download","8,602",Programari lliure,Fitxer:Logo-aMSN.jpg,AMSN,111,"Windows,Linux,OSX",,,,2928,Estable,"L''''aMSN''' és un programa de missatgeria instantània clon del MSN Messenger de Microsoft, de codi obert, multiplataforma (Windows, Linux, OSX i FreeBSD) i multilingüe.

Entre les seves característiques destaquen:
Client de la xarxa MSN Messenger de Microsoft.Missatgeria fora de línia.Clips de veu.Visualització d'imatges.Emoticones personalitzades.Funcionament multilingüe (permet l'ús d'unes 40 llengües).Admet l'ús de webcams.Inici de sessió amb més d'un compte…",Internet Eines,http://www.amsn-project.net/,0.98.4,,,,fals,27 juliol 2008 19:36:15,
Rebost:AMule,aMule,Fitxer:Rebost-amule.png,"8,000,000,12,000,000","http://downloads.sourceforge.net/project/amule/aMule/2.3.1/aMule-2.3.1-installer.exe,http://www.amule.org/,http://www.amule.org/files/download.php?file","24,02",Programari lliure (GPL),Fitxer:EMule mascot.svg,AMule,185,"Windows,Linux,OSX",,,,3205,Estable,"L''''aMule''' és un programa de compartició de fitxers d'igual a igual (P2P) basat en el popular eMule. Multiplataforma (Windows, Linux, OSX, BSD, Solaris), fa servir les xarxes eDonkey200, Kad i Kademlia, a més d'oferir més característiques que l'eMule.

L'aMule presenta les característiques més avançades dels programes de compartició de fitxers: permet compartir tot tipus de fitxers, aturar i reemprendre la descàrrega en qualsevol moment, descarregar des…",Internet Eines,http://www.amule.org,2.3.1,,,,fals,27 juliol 2008 14:38:33,
Rebost:ARA.CAT mòbil,"Edició de Premsa Periòdica Ara, SL",Fitxer:ARACAT.jpg,"6,920,602","https://itunes.apple.com/app/ara.cat-mobil/id428237964?l=ca&mt=8,https://play.google.com/store/apps/details?id=cat.ara.android&hl=ca",169,Programa comercial,Fitxer:ARACAT Logo.jpg,ARA.CAT mòbil,0,"iOS,Android",,Gratuït,,0,Estable,"Amb l'aplicació '''ARA.CAT''' tindreu accés a les notícies actualitzades de política, internacional, societat, cultura, economia, esports, mitjans i xarxes del diari Ara. També podreu veure els vídeos de l'Ara TV, les galeries de fotos d'actualitat i la previsió meteorològica per a les pròximes hores. Si sou usuari de l'Ara.cat podreu enviar comentaris i tenir accés a l'Ara Premium, els continguts exclusius i d'opinió de…",,http://www.ara.cat/,"3.2.1,3.2",,,,fals,3 gener 2013 10:57:52,
Rebost:ATCalc,Jordi March i Nogué,Fitxer:SingleFormsCAT.gif,"2,602,459",http://downloads.sourceforge.net/atcalc/ATCalcCAT_31_Inst.exe,"2,959",GPL,Fitxer:ATCalc-16.gif,ATCalc,69,"Windows,Linux,OSX",,,,2391,Estable,"L''''ATCalc''' és una calculadora científica i gràfica i un entorn de programació.

Està totalment adaptat per a persones amb dificultat visual: moderada (podent-se augmentar la mida de les lletres) o fonda o amb ceguesa (persones que precisen un lector de pantalla).

Com a ''calculadora simple'' permet repassar les operacions que hom ha anat introduint i veure’n els diferents resultats, disposant d’una ''calculadora temporal''. Com a ''calculadora…",Educació/Ciència,http://sourceforge.net/projects/atcalc,3.1.9.6,,,,fals,15 gener 2009 18:07:31,
Rebost:AbiWord,AbiWord,Fitxer:Rebost-abiword.jpg,"7,900,000,9,100,000,9,000,000","http://www.abisource.com/downloads/abiword/2.8.6/Windows/abiword-setup-2.8.6.exe,http://www.abisource.com/download/,http://www.abisource.com/downloads/abiword/2.4.5/MacOSX/AbiWord-2.4.5-10.2.dmg.gz","21,936",Programari lliure,Fitxer:AbiWord.png,AbiWord,238,"Windows,Linux,OSX",,,Projectes/Abiword,3227,Estable,"L''''AbiWord''' és un processador de textos que té un aspecte semblant al de Microsoft Word però que és lliure i molt més lleuger.

L'AbiWord ofereix un munt de funcions per a processament de textos; inclou totes les opcions habituals de formatació de caràcters, alineament de paràgrafs, regles, tabulacions, etc. S'hi poden utilitzar tipus de lletra TrueType, ""refés"" il·limitats i imatges del disc dur. A més del…",Ofimàtica,http://www.abisource.com,"2.8.6,2.4.5,3.0.1",,,verdader,fals,18 març 2008 21:00:44,
Rebost:Adium,Adium,Fitxer:Adium.jpg,"23,099,104",http://adium.im/?download,381,Programari lliure,Fitxer:LogoAdium.png,Adium,52,OSX,,,,2538,Estable,"L''''Adium''' és un client de missatgeria instantània que permet l'ús de diversos protocols:MSN messengerGTalkJabberICQYahoo!Maci d'altres com AOL, Yahoo Japan, Bonjour, Gadu-Gadu, Novell Groupwise o Lotus Sametime

Permet tenir oberts tants comptes com es vulgui simultàniament i és molt més complet que les aplicacions habituals.…",Internet Eines,http://adium.im/,1.4.4,,,,fals,11 desembre 2008 20:03:34,
Rebost:Adobe Acrobat Reader,Adobe,Fitxer:Rebost Acrobat Reader.jpg,"79,062,630",https://get.adobe.com/es/reader/download/?installer=Reader_11.0_Catalan_for_Windows&standalone=1,"134,289",Programari gratuït,Fitxer:Logo Acrobat Reader.png,Adobe Acrobat Reader,442,Windows,,,,3113,Estable,"L''''Adobe Acrobat Reader''' és una eina per a la visualització i impressió de documents en format PDF. A més, permet cercar, signar digitalment, verificar i col·laborar amb ells.

El format PDF és el format més utilitzat per a visualitzar documents d'igual manera a com els veuríem en versió impresa.…",Ofimàtica,https://acrobat.adobe.com/es/es/products/pdf-reader.html,2015.008.20082,,,,fals,16 març 2009 12:22:16,
Rebost:AdrimFac,"adrim.Net, Rafa Fernandez",Fitxer:Rebost Adrimfac01.jpg,"20,733,490",http://www.adrim.net/download/adrimfac/adrimfac.zip,"2,288",Programari comercial,,AdrimFac,84,Windows,,,,2512,Estable,"L''''AdrimFac''' és un programa de facturació en català. Entre les seves funcionalitats més significatives destaquen:
Gestió de compres (pendents d'arribar, arribades, compres intel·ligents...)Gestió de vendes (vendes, tiquets, comandes, albarans, pressupostos...)Control d'estocs unitaris i per escandallsMultitarifaGestió de magatzemCentral de compresGestió ordre de feina/tallerFacturació unitària i per albaransFacturació massiva de quotes periòdiquesGestió de cobramentsGestió de PagamentsGestió de remeses bancàries amb generació d'arxiu Normativa 19Llistats i estadístiques…",Empresarial,http://www.adrim.net/cms/index.php?option,4.11,,,,fals,7 novembre 2008 16:13:09,
Rebost:AdrimFacTactil,"adrim.Net, Rafa Fernandez",Fitxer:Rebost adrimfactac02.jpg,"20,733,490",http://www.adrim.net/download/adrimfac/adrimfac.zip,631,Programari Comercial,,AdrimFacTactil,55,Windows,,,,2164,Estable,"L''''AdrimFacTactil''' és un mòdul del programa adrimFac específic per utilitzar-lo com a tpv tàctil (terminal punt de venda). Les seves principals característiques són:
Fàcil utilitzacióPermet classificar els articles fins a 3 nivells (Categories/Famílies/Articles)Adaptable a qualsevol tipus de resolució de pantallaPermet lectura de codis desde lector de codis de barres i desde teclatCobrament separat per comensals.Definició dels elements de venda, per exemple, (taules, cadires, venedors...)Control…",Empresarial,http://www.adrim.net/cms/index.php?option,4.11,,,,fals,7 novembre 2008 16:26:50,
Rebost:Akregator,L'equip de l'Akregator,Fitxer:Rebost Akregator.png,,http://userbase.kde.org/Akregator,440,Programari lliure,Fitxer:Logo Akregator.png,Akregator,73,Linux,,,,2123,Estable,"L''''Akregator''' és el gestor de canals d'informació de l'escriptori KDE. Admet tant el format RSS com l'Atom, els dos formats més utilitzats de canals d'informació. Els canals són ordenats en categories. 

L'Akregator agregarà tots els canals d'una categoria particular en una única llista amb les noves entrades. Disposa de cerca incremental per als títol de totes les entrades de la seva base de dades. Pot ser…",Internet Eines,http://akregator.kde.org/,1.69,,,,fals,22 agost 2008 20:17:08,
Rebost:All Budget,Stefano Frosoni,Fitxer:All Budget.PNG,"7,759,462",https://itunes.apple.com/app/all-budget/id502292987?l=ca&mt=8,247,Programa comercial,Fitxer:All Budget Logo.jpg,All Budget,12,iOS,,1.99€,,1917,Estable,'''All Budget''' és una aplicació per a organitzar fàcilment les vostres finances domèstiques.…,Empresarial,http://www.appnext.it/,4.1,,,,fals,3 març 2013 11:28:31,
Rebost:Anfibia Reactor,Anfibia Software,Fitxer:Shot main graphs 22.png,"2,532,976",http://www.anfibia-soft.com/download/anfibiareactorsetup.exe,833,Demostració comercial,Fitxer:Reactor.png,Anfibia Reactor,37,Windows,,,,2189,Estable,"L''''Anfibia Reactor''' és una aplicació web en local per a monitoratge de servidors i xarxes. El monitoratge de servidors permet descobrir potencials problemes abans que sigui massa tard.

L'Anfibia Reactor pot dur a terme les tasques següents:
Monitoratge de maquinari: discs durs, CPU, memòria i bateria.
Monitoratge de connexions, xarxes, bases de dades i servidors remots.
Visualització de connexions actives i l'ús de la xarxa.
Visualització…",Utilitats,http://www.anfibia-soft.com,2.1,,,,fals,15 setembre 2010 11:25:11,
Rebost:Angry Words,Etermax S.A.,Fitxer:AngryWords.PNG,"15,728,640","https://itunes.apple.com/app/angry-words-apalabrados/id441092257?l=ca&mt=8,https://play.google.com/store/apps/details?id=com.etermax.apalabrados.lite&hl=ca",648,Programa comercial,Fitxer:AngryWords Logo.jpg,Angry Words,17,"iOS,Android",2.2 o superior,Gratuït,,2,Estable,"'''Angry Words''' (abans anomenat ''Apalabrados'') és un joc de paraules multi-usuari que es pot jugar contra els teus amics.
Està disponible en diversos idiomes, incloent català, anglès, espanyol, francès, italià i alemany. També compta amb una interfície neta, sofisticada i intuïtiva.
Les animacions del joc fan que encara sigui millor, ja que permeten de veure els moviments dels teus oponents recents.…",Jocs,http://www.angrywords.com/support,"1.4.9.1,1.4.9.3",,,,fals,7 gener 2013 11:11:26,
Rebost:Anonymity Proxy,iNet Privacy,Fitxer:Rebost-proxy.gif,,http://www.inetprivacy.com/ftp/a4proxy.exe,"1,864",Demostració comercial,,Anonymity Proxy,78,Windows,,,,2679,Estable,"L'Anonymity 4 Proxy és una eina indispensable per als usuaris que  valoren la seva privacitat. Aquest programa, amb el qual podeu moure-us  per Internet de manera anònima, inclou una base de dades amb centenars  de servidors intermediaris anònims de tot el món, i us ajuda a  escollir-ne el més ràpid per al lloc web que us interessa, al mateix  temps que verifica el vostre nivell d'anonimat…",Internet Eines,http://www.inetprivacy.com/a4proxy/,2.8,,,,fals,18 març 2008 20:58:36,
Rebost:Apache OpenOffice,Apache Foundation,,"141,557,760,171,966,464","http://sourceforge.net/projects/openofficeorg.mirror/files/4.1.1/binaries/ca/Apache_OpenOffice_4.1.1_Win_x86_install_ca.exe/download,http://sourceforge.net/projects/openofficeorg.mirror/files/4.1.1/binaries/ca/Apache_OpenOffice_4.1.1_MacOS_x86-64_install_ca.dmg/download,http://www.openoffice.org/download/index.html","4,118",Apache,Fitxer:Aoo logo.png,Apache OpenOffice,4,"Windows,OSX,Linux",64 bits,0 €,Projectes/Apache OpenOffice,3.75,Estable,"L''''Apache OpenOffice''' és un paquet ofimàtic lliure amb el qual podem crear documents dinàmics, analitzar  dades, dissenyar agradables presentacions, produir dibuixos espectaculars i moltes altres coses. Disponible en català i moltes altres llengües per a Windows, Linux i Mac. És compatible amb molts formats ofimàtics, entre els quals els del Microsoft Office. És utilitzat normalment tant en entorns domèstics com acadèmics i empresarials.

Tot seguit teniu…",Ofimàtica,http://www.openoffice.org,4.1.1,"Softcatalà dedica els seus esforços en traduir i mantenir la qualitat del paquet ofimàtic [[Rebost:LibreOffice|LibreOffice]]. La traducció actual de l'Apache OpenOffice no ha estat revisada i per tant no podem assegurar-ne la qualitat. Si voleu col·laborar en la traducció, visiteu el [[Projectes/Apache_OpenOffice|projecte de Softcatalà]].",Responsable,verdader,fals,25 agost 2014 09:33:49,
Rebost:Audacity,L'equip de l'Audacity,Fitxer:Rebost Audacity.png,"22,180,353,30,735,220","http://audacity.sourceforge.net/download/linux,http://audacity.sourceforge.net/download/mac,http://www.fosshub.com/Audacity.html/audacity-win-2.1.1.exe","80,901",Programari lliure (GPL),Fitxer:Logo Audacity.jpg,Audacity,503,"Windows,Linux,OSX",,,,3728,Estable,"L''''Audacity''' és un editor i enregistrador d'àudio fàcil d'utilitzar, disponible per a Windows, OS X, GNU/Linux i altres sistemes operatius.

Amb l'Audacity podeu fer el següent:
Enregistrar àudio en directe.Convertir cintes i gravar-les en format digital o CD.Editar fitxers d'àudio en format Ogg Vorbis, MP3, WAW o AIFF.Tallar, copiar, dividir o barrejar sons.Canviar la velocitat de l'enregistrament.I moltes coses més (opcions…",Multimèdia,http://audacity.sourceforge.net/,2.1.1,,,,fals,21 agost 2008 21:18:02,
Rebost:Audiograbber,Jackie Franck,Fitxer:Rebost-audio.gif,,http://%7B%7B%7BURL%20programa%7D%7D%7D,"6,886",Programari gratuït,,Audiograbber,124,Windows,,,,2548,Estable,"L'Audiograbber és un programa que copia música i l'emmagatzema al disc  dur del vostre ordinador; el seu objectiu principal és copiar música des  dels CD. La música es copia digitalment i, per tant, les còpies que  s'obtenen són perfectes. Inclou funcions per comprovar que les còpies  són fidels a l'original. No totes les unitats de CD-ROM, però, poden  llegir àudio digital, de manera que també hi…",Multimèdia,http://www.audiograbber.org,1.81,,,,verdader,18 març 2008 20:56:23,
Rebost:Avast! Free Antivirus,ALWIL Software,Fitxer:Rebost avast.png,"5,500,000",https://www.avast.com/es-es/download-thank-you.php?product=FAV-ONLINE-327&locale=es-es,"210,579",Programari gratuït per a ús no comercial,Fitxer:Foreman 14248426 4318 Avast-Antivirus-icon 64x64.png,Avast! Free Antivirus,"1,396",Windows,,,,3654,Estable,"L''''Avast! Free Antivirus''' és un antivirus gratuït per a un ús no comercial. Disponible per a Windows i en diverses llengües, inclòs el català, és una solució molt completa que protegeix diversos protocols (web, correu electrònic, descàrrega de fitxers, P2P...).

Si el Windows està inicialment configurat en català, el programa s'instal·larà automàticament en aquesta llengua. Alternativament pot afegir-se i canviar-se després des dels paràmetres de…",Utilitats,http://www.avast.com/,10.2.2218.942,,,,fals,5 agost 2008 22:11:48,
Rebost:Avidemux,Avidemux,Fitxer:Rebost Avidemux.png,"13,700,000",http://avidemux.berlios.de/download.html,"7,847",Programari lliure (GPL),Fitxer:Logo Avidemux.png,Avidemux,156,Linux,,,,3071,Estable,"L''''Avidemux''' és un editor de vídeo gratuït dissenyat per a tasques simples de tall, filtratge i codificació. Permet l'ús de molts tipus de fitxer, incloent-hi AVI, fitxers MPEG compatibles amb DVD, MP4 i ASF, mitjançant l'ús d'una gran varietat de còdecs d'àudio i vídeo. Les tasques es poden automatitzar utilitzant projectes, cua de tasques i capacitats potents amb scripts.

Amb l'Avidemux podem canviar fàcilment el format…",Multimèdia,http://www.avidemux.org,2.5.4,,,,fals,9 agost 2008 20:14:06,
Rebost:BCNbus,MAD Kern S.L.,Fitxer:BCNbus.PNG,"1,782,579",https://itunes.apple.com/app/bcnbus/id356076095?l=ca&mt=8,86,Programa comercial,Fitxer:BCNbus Logo.jpg,BCNbus,16,iOS,,Gratuït,,2375,Estable,"'''BCNbus''' mostra l'hora prevista d'arribada dels autobusos de TMB a Barcelona.

Utilitzeu BCNbus per:

- Reduir al mínim el temps que ha d'esperar a que l'autobús

- Triar la línia d'autobús que utilitzarà, en funció dels seus temps d'espera

- Revisar els horaris de totes les línies d'autobús de TMB

L'aplicació té una secció ""Favorits"" que proporciona accés ràpid a la informació que necessiteu cada dia…",Internet Eines,http://madideas.es/bcnbus/,1.1.1,,,,fals,6 gener 2013 12:01:02,
Rebost:BSPlayer,Ferreret,,,http://%7B%7B%7BURL%20programa%7D%7D%7D,"10,357",Programari gratuït,Fitxer:Logo BSPlayer.jpg,BSPlayer,170,Windows,,,,2.8,Estable,"EL '''BSPlayer''' és un dels millors reproductors de DivX del moment. És   ràpid, fiable, i inclou un munt de pràctiques opcions que fan que la   reproducció d'aquesta mena de vídeos sigui d'allò més còmoda.

Algunes de les característiques més importants del BSPlayer són:
Aspecte totalment modificable (mitjançant aparences [skins])
Possibilitat de mostrar subtítols
Reprodueix fitxers AVI, MPG, ASF, WMV, WAV, MP3...
És multilingüe (permet treballar en…",Multimèdia,http://www.bsplayer.org/,2.20,,,,verdader,18 març 2008 21:00:51,
Rebost:Badoo,Badoo Software Ltd,Fitxer:Badoo.PNG,"30,828,134","https://itunes.apple.com/app/badoo-meet-new-people-chat/id351331194?l=ca&mt=8,https://play.google.com/store/apps/details?id=com.badoo.mobile",123,Programa comercial,Fitxer:Badoo Logo.jpg,Badoo,14,"iOS,Android",,Gratuït,,2357,Estable,'''Badoo''' és una aplicació per fer nous contactes i xerrar-hi. Permet trobar nous amics a la teva zona geogràfica.…,Internet Eines,http://badoo.com/,2.1.2,,,,fals,8 febrer 2013 19:54:03,
Rebost:Banshee,Comunitat Banshee,Fitxer:Rebost banshee.png,,http://banshee-project.org/download/,"1,009",Programari lliure (MIT),Fitxer:Logo Banshee.png,Banshee,73,"Linux,OSX",,,,2301,Estable,"El '''Banshee''' és un reproductor d'àudio i vídeo. Permet reproduir formats MP3, Ogg Vorbis i subscripcions a Podcasts i ràdios per Internet. 

La funcionalitat del Banshee es pot ampliar mitjançant extensions, cosa que permet afegir-hi compatibilitat amb compartició de música a través de DAAP, integració amb dispositius iPods, amb webs com ara Last.fm o Musicbrainz.…",Multimèdia,http://banshee-project.org/,1.5,,,,fals,11 agost 2008 15:33:55,
Rebost:Barra d'eines de Google,Google,Fitxer:Rebost-google.jpg,197,http://toolbar.google.com/T6/intl/ca/install.html,"3,34",Programari gratuït,Fitxer:Logo Google Toolbar.gif,Barra d'eines de Google,81,Windows,,,,2691,Estable,"La '''barra d'eines de Google''' incrementa les possibilitats de trobar informació des d'arreu d'Internet i només triga uns segons a instal·lar-se. Es tracta d'una extensió per a l'Internet Explorer que un cop instal·lada apareix amb la barra d'eines. Això vol dir que es poden fer cerques al Google de manera fàcil i ràpida sense abandonar la pàgina que s'estigui visitant.

La barra ofereix els següents serveis:…",Internet Eines,http://toolbar.google.com/T5/intl/ca/,7.1,,,,fals,18 març 2008 20:50:31,
Rebost:Bean,J. Hoover,,"3,282,499",http://www.bean-osx.com/releases/Bean-Install.zip,275,Programari gratuït,Fitxer:Bean.jpg,Bean,20,OSX,,,,1.3,Estable,"El Bean és un processador de textos petit i senzill, pensat per a una escriptura eficient, pràctica i còmode. S'inicia ràpidament, té recompte de paraules automàtic i és agradable a la vista. 

Per instal·lar-lo, moveu l'aplicació 'Bean' del directori que es crear en obrir l'arxiu ZIP a la carpeta d'''Aplicacions''.…",Ofimàtica,http://www.bean-osx.com,3.2.0,,,verdader,fals,24 abril 2012 23:01:55,
Rebost:Bitcoin Core,Bitcoin Foundation,,,"https://bitcoin.org/bin/bitcoin-core-0.10.0/bitcoin-0.10.0-win64-setup.exe,https://bitcoin.org/bin/bitcoin-core-0.10.0/bitcoin-0.10.0-win32-setup.exe,https://bitcoin.org/bin/bitcoin-core-0.10.0/bitcoin-0.10.0-osx.dmg,https://bitcoin.org/bin/bitcoin-core-0.10.0/bitcoin-0.10.0-linux64.tar.gz,https://bitcoin.org/bin/bitcoin-core-0.10.0/bitcoin-0.10.0-linux32.tar.gz,https://launchpad.net/~bitcoin/%2Barchive/ubuntu/bitcoin",2,MIT,Fitxer:Bitcoin.svg,Bitcoin Core,0,"Windows64,Windows32,OSX,Linux64,Linux32,Linux",Ubuntu (PPA),,Projectes/Bitcoin,0,Estable,"El '''Bitcoin Core''' és l'aplicació multiplataforma més popular per gestionar els moneders i realitzar transaccions amb la popular criptomoneda ''Bitcoin''.

Cal tenir present que la primera vegada que s'executa l'aplicació ha de carregar-se tota la cadena de blocs i pot trigar una bona estona.…",Empresarial,https://bitcoin.org/,0.10,,,,fals,21 febrer 2015 13:29:57,
Rebost:Blender,Blender Foundation,Fitxer:Blender.jpg,,http://ftp.nluug.nl/pub/graphics/blender/release/Blender2.68/blender-2.68a-windows32.exe,94,GNU,,Blender,6,Windows,,,,2833,Estable,"El Blender és un programa d'edició tridimensional. Inclou eines per al modelatge d'objectes, l'edició de materials, l'animació, el render, un sistema de nodes i un motor de jocs, a més de funcionalitats complementàries com l'edició no lineal de vídeo.

Existeixen versions per a Linux i altres sistemes basats en Unix que es troben disponibles a través dels seus centres de programari.

Per posar el Blender en…",,http://www.blender.org,2.68,,,,fals,28 setembre 2013 10:41:34,
Rebost:Blogger,"Google, Inc.",Fitxer:Blogger.jpg,"3,040,870,2,621,440","https://itunes.apple.com/us/app/blogger/id459407288,https://play.google.com/store/apps/details?id=com.google.android.apps.blogger",256,Programa comercial,Fitxer:Blogger Logo.jpg,Blogger,21,"iOS,Android",,Gratuït,,1667,Estable,"Des de l'aplicació '''Blogger''' podeu gestionar el vostre bloc (blogger o blogspot): creeu entrades, organitzeu-les, canvieu-ne el disseny……",Internet Eines,http://www.blogger.com/features,"2.0.1.5,2.0",,,,fals,2 gener 2013 11:05:03,
Rebost:Brasero,Philippe Rouquier i Luis Medinas,Fitxer:Rebost Brasero.png,,http://ftp.gnome.org/pub/gnome/sources/brasero/0.8/brasero-0.8.2.tar.bz2,729,Programari lliure (GPL),Fitxer:Logo Brasero.svg,Brasero,86,Linux,,,Mida=Projectes/GNOME,2372,Estable,"El '''Brasero''' és un enregistrador de discs CD i DVD. Està dissenyat per a ser el més senzill possible. Permet enregistrar discs de dades, àudio, imatges de disc, a més de copiar discs.

Entre les seves característiques, destaquen:
Pot enregistrat CD i DVD de dades i àudio al volFiltratge automàtic per fitxers que no es volen (fitxers ocults, fitxers no estàndard...)Permet multisessióPermet l'extensió JolietPot gravar…",Utilitats,http://www.gnome.org/projects/brasero/,0.8.2,,,,fals,21 agost 2008 17:40:04,
Rebost:ButiNET,Carles Albert Vallvè,,,http://www.butinet.cat/fitxers/ButiNET_v4.1.0.exe,"5,066",Programari gratuït / Subscripció de pagament,,ButiNET,132,Windows,,,,3045,Estable,"El joc de la Botifarra és un joc de cartes originari de les terres catalanes. És als pobles més petits on la Botifarra ha arrelat amb més força i ha creat autèntics bons jugadors. Els més vells han ensenyat a jugar als més joves a aquest joc de cartes que requereix una important exercitació de la memòria. És, doncs, un joc per a ben bé totes…",Jocs,http://www.butinet.cat,4.1.0,,,,fals,31 juliol 2008 12:28:51,
Rebost:CCleaner,Piriform Ltd.,Fitxer:Rebost CCleaner.png,"6,609,608",http://download.piriform.com/ccsetup508.exe,"35,918",Programari gratuït,Fitxer:Logo CCleaner.png,CCleaner,226,Windows,,,,3204,Estable,"El '''CCleaner''' és un programa gratuït que permet optimitzar, netejar i mantenir la privacitat del vostre sistema Windows. Suprimeix fitxers poc usats i neteja rastres d'activitat al sistema operatiu, navegadors web i aplicacions més freqüents. Addicionalment també té un netejador del registre del sistema.…",Utilitats,http://www.piriform.com/ccleaner,5.08,,,,fals,11 agost 2008 12:21:16,
Rebost:CDBurnerXP,Canneverbe Limited,Fitxer:CDBurnerXP.png,"5,283,736",http://cdburnerxp.se/downloadsetup.exe,"12,023",Programari gratuït,Fitxer:Logo CDBurnerXP.png,CDBurnerXP,106,Windows,,,,2934,Estable,"El '''CDBurnerXP''' és una aplicació gratuïta per enregistrar qualsevol mena de discs, tant de dades com de música (CD, DVD, Blu-ray, HD-DVD, etc. fins i tot de doble capa).

Entre les seves característiques, destaquen:
Molt fàcil de fer servir.Completament en català. S'ha traduït a més del programa l'ajuda i el web.Finestra de dipòsit per afegir fitxers a la compilació de manera ràpida i fàcil…",Utilitats,http://cdburnerxp.se/ca/,4.5.2.4291,,,,fals,26 març 2009 17:42:15,
Rebost:CDex,Albert L. Faber,Fitxer:Rebost-cdex.png,"1,929,666",http://cdex.mu/?q=download,"22,711",Programari lliure (GPL),Fitxer:Logo CDex.png,CDex,236,Windows,,,,2746,Estable,"El '''CDex''' és una eina per a fer qualsevol cosa relacionada amb l'àudio. Adreçat principalment a l'extracció i la conversió, coses com ara passar la vostra col·lecció de discos compactes a mp3 o ogg esdevenen extremadament senzilles. El CDex és programari lliure, i permet la utilització de múltiples codificadors sense les restriccions que presenten els programes comercials. 

Aquestes són les característiques principals del CDex:
Té una…",Multimèdia,http://cdexos.sourceforge.net/,1.79,,,,fals,18 març 2008 20:50:47,
